Sample_Name,Rhizosphere,Bacteria_nmol_FAME_g_soil,Fungi_nmol_FAME_g_soil
01.05.1,1,23387.37,4327.38
01.05.3,3,17849.91,1580.43
01.13.1,1,21913.67,1462.05
01.13.2,2,32319.88,1783.98
01.13.3,3,17671.78,914.66
02.08.1,1,17661.41,3192.85
02.08.2,2,42016.21,3837.45
02.08.3,3,73424.01,6998.05
02.10.1,1,19590.93,1509.71
02.10.3,3,16958.16,1204.19
03.07.2,2,14587.33,1015.64
03.07.3,3,23004.84,3094.68
05.03.1,1,21660.91,1468.41
05.03.2,2,21034.09,1627.67
05.03.3,3,20496.27,1619.18
05.09.2,2,11365.4,1008.24
05.09.3,3,19854.45,1710.03
06.06.1,1,59324.03,5202.98
06.06.2,2,16095.01,3094.8
06.06.3,3,65003.77,5511.82
10.02.1,1,34809.58,3059.12
10.02.2,2,27615.88,3252.88
10.02.3,3,56201.6,5007.18
11.06.2,2,33027.3,1832.42
11.06.3,3,164578.19,6604.25
11.10.1,1,43617.56,3657.83
11.10.3,3,67517.73,5988.02
12.01.2,2,53195.62,3615.83
12.01.3,3,64398.56,6016.11
12.05.2,2,22390.82,4178.76
12.05.3,3,9493.75,732.15
12.09.1,1,81580.77,6668.7
12.09.2,2,34685.21,2907.22
12.09.3,3,41749.47,3981.91
14.10.1,1,22636.44,1526.7
14.10.2,2,18418.7,3776.17
14.10.3,3,16377.68,1398.59
15.16.2,2,17667.57,127.8
17.01.1,1,29358.76,1986.28
17.01.1b,1,20489.16,2706.51
17.01.3,2,14796.97,992.39
17.06.1,1,34932.68,2003.86
17.06.2,2,30989.15,5703.51
17.06.3,3,26298.7,1575.73
18.05.1,1,17052.29,1728.56
18.05.2,2,48675.12,6618.75
18.05.3,3,35531.73,2700.01
20.04.1,1,14901.16,2767.01
20.04.2,2,24799.4,4014.97
22.07.2,2,65753.98,5033.19
22.07.3,3,41627.38,3170.33
24.02.1,1,39015.74,3066.94
24.02.2,2,22048.08,2615.53
24.02.3,3,38903.58,2768.01
28.01.2,2,8096.53,580.69
28.01.3,3,33192.47,2337.39
34.06.1,1,36481.36,5325.13
34.06.3,3,25026.51,1879.03
37.04.1,1,30371.98,2150.61
37.04.2,2,64072.51,4340.71
37.04.3,3,31585.15,2229.05
43.02.1,1,15141.14,3020.26
43.02.2,2,27418.09,2306.48
43.02.3,3,23728.72,1923.43
46.03.2,2,6263.94,397.03
46.03.3,3,26216.99,5454.56
48.01.1,1,25620.75,2106.84
48.01.3,3,31979.8,2614.86
52.04.1,1,25931.09,1934.07
52.04.2,2,20715.09,1262.95
52.04.3,3,12477.12,1005.66
55.11.1,1,22306.59,1856.67
55.11.2,2,49527.32,4248.15
58.05.1,1,11160.79,1451.36
58.05.2,2,15173.79,1210.14
58.05.3,3,37862.08,3046.75
63.04.2,2,34554.07,2499.35