,FAME compound label
1,10:00
2,
3,11:00
4,12:00
5,13:00
6,2OH 12:0
7,3OH 13:0
8,14:01
9,14:00
10,a15:0
11,15:00
12,3OH 14:0
13,16:1n9/i16:0
14,16:00
15,i17:0
16,17:0cy
17,17:01
18,17:00
19,2OH 16:0
20,18:3n6
21,trans-18:1n9
22,18:00
23,19:0cy
24,19:00
25,20:4n6
26,20:5n3
27,20:02
28,20:00
29,21:00
30,22:6n3
31,22:00
32,23:00
33,24:00:00
34,15:01
35,2OH 14:0
36,20:01
37,22:2 and 22:1n9
38,24:01:00
39,2OH 10:1
40,"18:2n9,12 and cis-18:1n9 and 183n3"
41,10:00
42,11:00
43,12:00
44,13:00
45,14:01
46,14:00
47,15:01
48,15:00
49,16:00
50,17:01
51,17:00
52,18:00
53,19:00
54,20:02
55,20:01
56,20:00
57,21:00
58,22:00
59,23:00
60,24:01:00
61,24:00:00