"core_ID","Exclusion","Tree_species","Isotope_label","Tree_DBH","x_plot","y_plot","Slope_cardinal","Slope","Slope_angle","Depth","Day5_temp_in","Day5_temp_out","GWC","MBC","MBN","MBC_noneg","MBN_noneg","SRL","Dry_root_wt","D7_inc_Co2","D12_inc_Co2","D21_inc_Co2","D42_inc_Co2","D60_inc_Co2","Unsieved_soil_wt","Sieved_soil_wt","Efflux_d1","Efflux_d2","Efflux_d3","Efflux_d4","Efflux_d5","Efflux_d6","Efflux_d7","Efflux_d9","d13_d2","d13_d3","d13_d4","d13_d5","d13_d6","d13_d7","d13_d9","nag","phos","cbh","lap","a_gluc","b_gluc","per_AMF","Mean_Respiration"
"01_05_1","1","Goeth","L",27.9,3.6,6,"N",4.5,0.044969662,5,NA,NA,0.30235455,"27.01650818",5531.053264,27.01650818,5531.053264,8.293518634,32.2,27.6,68.18469028,73.47725992,191.7469767,46.30025956,"333.84","263.5",NA,1.346274387,NA,1.914887273,NA,1.408938551,4.550620489,1.043251652,NA,NA,-4.47,NA,4.81,-0.67,35.15,NA,NA,NA,NA,NA,NA,36,2.0527944704
"01_05_2","2","Goeth","L",27.9,3.6,6,"N",4.5,0.044969662,5,NA,NA,0.297504955,"-55.28861193",-8175.160387,NA,NA,21.67672751,37.8,29.01,73.61792293,42.89878573,163.168064,33.23392575,"311.59","278.25",NA,2.096568775,NA,2.199966621,NA,2.920436089,2.518760545,1.817453041,NA,NA,-6.77,NA,-8.63,NA,-5.96,703.3770005,33.31582912,NA,NA,NA,NA,24,2.3106370142
"01_05_3","3","Goeth","L",27.9,3.6,6,"N",4.5,0.044969662,7,NA,NA,0.304084237,"",NA,NA,NA,30.72519149,112.8,104.07,163.8583674,195.6777615,455.3575661,85.16894512,"302.15","255.62",NA,1.506538963,NA,1.06330838,NA,1.333208466,2.895538529,0.858654692,NA,NA,-12.17,NA,-10.88,NA,-12.24,1009.260891,23.14169619,5.185113523,7.792941874,3.60271904,54.94309516,52.94117647,1.531449806
"01_13_1","1","Penta","S",NA,NA,NA,"N",5.5,0.054944642,4,NA,NA,0.205307012,"-71.00577667",-458.6838503,NA,NA,34.28906667,16.5,22.55,15.06362576,73.95163508,205.5028277,16.8297296,"424.54","337.66",0.855026002,NA,2.006687248,2.722634818,2.447862652,NA,NA,NA,177.49,6.68,64.29,-4.11,NA,NA,NA,349.6430818,3.487509561,1.278120505,2.751277029,3.396439294,17.08234832,42,2.00805268
"01_13_2","2","Penta","S",NA,NA,NA,"N",5.5,0.054944642,7,NA,NA,0.289115621,"-167.3769807",1631.705776,NA,1631.705776,25.01676296,13.5,12.69,20.22912901,73.15508239,137.4571506,43.2757737,"318","269.42",2.693584864,NA,0.708340704,1.306573537,2.190111954,NA,NA,NA,42.58,-4.41,16.99,48.05,NA,NA,NA,1013.205547,27.15894503,9.650286299,NA,1.382208005,70.82530586,4,1.72465276475
"01_13_3","3","Penta","S",NA,NA,NA,"N",5.5,0.054944642,5,25.4,25.5,0.224647421,"189.1096712",1937.322208,189.1096712,1937.322208,27.50712595,551,22.9,115.8800808,112.2190842,363.1212577,17.81570721,"319.58","281.4",4.158697576,NA,0.817565013,0.953825116,1.562558495,NA,NA,NA,47.49,-10.01,NA,-2.14,NA,NA,NA,860.8575454,464.2659748,7.396178653,NA,1.690990805,17.34549126,56,1.87316155
"02_05_1","1","Goeth","SW",17.2,16.15,1.8,"N",20,0.19739556,7.5,25.7,25.7,0.198875485,"-45.71269314",3671.824963,NA,3671.824963,57.35219364,144.6,21.06,107.3311065,121.1319235,320.867368,75.30031175,"207.53","182.29",2.369207232,NA,1.457256949,1.984928554,3.952008894,NA,NA,NA,-17.97,-18.09,808.8,-17.87,NA,NA,NA,555.8584409,NA,19.10495413,NA,2.345940019,39.97733887,62,2.44085040725
"02_05_2","2","Goeth","SW",17.2,16.15,1.8,"N",20,0.19739556,3,NA,NA,0.314825867,"89.35831595",58169.84174,89.35831595,58169.84174,80.71752525,9.9,16.04,120.0250364,72.94894468,262.3884114,72.99462724,"297.74","258.8",9.294117091,NA,6.881802262,6.374386813,3.572988151,NA,NA,NA,-18.12,-19.08,68.78,-19.42,NA,NA,NA,721.8222173,17.22067762,10.07441225,10.63485587,3.114732013,36.93980777,66,6.53082357925
"02_05_3","3","Goeth","SW",17.2,16.15,1.8,"N",20,0.19739556,9,NA,NA,0.174969601,"-185.6245788",6398.884006,NA,6398.884006,14.07461745,428.7,NA,NA,NA,NA,NA,"251.36","204.83",0.712213908,NA,3.943839246,2.536523388,1.489051837,NA,NA,NA,-10.41,-13.5,27.29,-13.01,NA,NA,NA,889.0897532,18.50021278,NA,0.784329751,2.370166622,NA,50,2.17040709475
"02_08_1","1","Goeth","L",17.2,11.25,3.6,"N",19,0.187761947,8,NA,NA,0.194766011,"-202.2615906",13273.90823,NA,13273.90823,33.85332094,131.8,28.25,75.51076321,103.5348967,178.2426548,67.57442862,"325.07","279.77",NA,0.37753976,NA,0.735065115,NA,1.605519882,1.08632982,0.503766275,NA,NA,-11.38,NA,-12.08,-12.04,6.34,566.2916157,28.6344335,3.78824992,NA,NA,50.23947468,38,0.8616441704
"02_08_2","2","Goeth","L",17.2,11.25,3.6,"N",19,0.187761947,7,25.5,25.5,0.368360689,"697.9185293",42854.522,697.9185293,42854.522,18.8839291,53.6,117.35,89.64848815,8.250277308,62.15726749,88.91663988,"330.67","256.52",NA,0.565644317,NA,1.461023461,NA,1.475048233,1.376867376,1.266686121,NA,NA,-9.81,NA,-6.67,-11.72,-7.14,617.6148543,20.88628484,24.99494709,4.483547798,1.951587028,29.745531,16,1.2290539016
"02_08_3","3","Goeth","L",17.2,11.25,3.6,"N",19,0.187761947,7,NA,NA,0.28433307,"127.2343487",72550.58,127.2343487,72550.58,34.77810817,571.3,71.81,194.7294522,225.3493478,550.1627214,130.2093475,"305.59","267.5",NA,11.790979,NA,2.932539007,NA,1.358713665,3.872117254,4.363166126,NA,NA,-12.55,NA,-12.87,-12.48,-13.31,1370.930257,35.15285728,11.21229242,7.263570166,2.949652294,70.24002293,48,4.8635030104
"02_10_1","1","Goeth","S",27.2,14.1,5,"N",19.5,0.192583277,7.5,25.7,25.7,0.301484817,"153.2221483",43210.50463,153.2221483,43210.50463,27.55047194,69.5,40.55,120.5605289,134.6970404,399.982597,70.06742018,"312.84","233.27",2.368749593,NA,NA,1.390601332,0.684863919,NA,NA,NA,254.28,29.4,-8.77,1.67,NA,NA,NA,574.1150676,15.86575421,5.34243842,6.318516467,1.163694076,23.48128298,20,1.481404948
"02_10_2","2","Goeth","S",27.2,14.1,5,"N",19.5,0.192583277,8,NA,NA,0.311611654,"45.34093063",21221.98097,45.34093063,21221.98097,9.783598954,114.7,45.39,92.75771694,94.59041009,201.5231373,45.07337523,"277.93","188.14",2.622700204,NA,0.198482779,1.950280474,1.17024691,NA,NA,NA,55.49,-4.96,-10.23,-7.61,NA,NA,NA,570.6821212,22.54231691,4.256707026,2.652427146,5.639368814,24.47023435,36,1.48542759175
"02_10_3","3","Goeth","S",27.2,14.1,5,"N",19.5,0.192583277,5,NA,NA,0.247878026,"680.8564416",64638.35625,680.8564416,64638.35625,34.97739708,130.2,73.31,53.96202097,52.34184184,144.3417672,69.98251005,"280.82","229.06",0.488961004,NA,8.277729541,2.515268666,1.352875415,NA,NA,NA,39.88,-10.36,-13.7,-12.12,NA,NA,NA,659.8972274,11.46264068,11.2058326,5.825353742,1.330561585,23.11820707,54,3.1587086565
"02_13_1","1","Goeth","SW",17.9,17.6,8.7,"NE",31,0.30060567,3.5,NA,NA,0.241599332,"-322.0795719",-6765.094947,NA,NA,22.94017049,30.5,29.73,56.21704937,75.25748789,162.3352718,42.58676953,"448.02","368.54",3.646227989,NA,2.091442698,1.260324323,1.541465066,NA,NA,NA,109.72,186.55,318.68,-12.28,NA,NA,NA,NA,NA,14.5130153,NA,2.59270642,27.77604726,24,2.134865019
"02_13_2","2","Goeth","SW",17.9,17.6,8.7,"NE",31,0.30060567,4,25.7,25.6,0.271670575,"-260.3220981",2779.946812,NA,2779.946812,20.07848302,26.5,13.39,70.59835382,65.52479876,151.5375702,8.117354678,"391.14","312.32",9.117279133,NA,1.665617938,1.342570446,1.536621271,NA,NA,NA,37.26,41.88,54.41,-12.94,NA,NA,NA,310.9328826,3.825270584,12.36605822,2.602332125,NA,7.650362871,54,3.415522197
"02_13_3","3","Goeth","SW",17.9,17.6,8.7,"NE",31,0.30060567,6.5,NA,NA,0.353272731,"539.6001969",72355.52345,539.6001969,72355.52345,22.66783306,119.8,105.05,59.12023618,271.6426493,674.4057702,196.9238505,"338.97","237.64",1.121408789,NA,1.806474066,3.008421192,NA,NA,NA,NA,25.21,42.51,46.64,-13.09,NA,NA,NA,1189.357626,11.18880416,9.108268909,NA,48.09274322,121.340252,42.30769231,1.97876801566667
"03_07_1","1","Penta","L",33.8,26.6,7,"N",14,0.139095941,7,NA,NA,0.254146183,"407.665721",97183.59027,407.665721,97183.59027,6.93058244,149.2,38.3,148.3826383,161.3862127,338.1251232,137.830923,"286.86","240.22",NA,1.513637826,NA,2.068466817,NA,0.299068801,0.046503397,0.793936627,NA,NA,-15.03,NA,-14.25,-16.08,-4.04,750.0756966,28.12991484,7.059738736,2.179683026,6.766968042,39.16318775,52.94117647,0.9443226936
"03_07_2","2","Penta","L",33.8,26.6,7,"N",14,0.139095941,6,NA,NA,0.249258662,"",NA,NA,NA,7.179478353,94.7,49.34,124.9635363,101.3637844,379.7063045,75.38134865,"377.55","307.07",NA,0.932750177,NA,1.065067965,NA,3.066061231,0.681418621,2.704253691,NA,NA,-11.83,NA,-11.65,-13.31,-12.1,700.4645829,NA,NA,NA,1.906603209,34.13812722,56,1.689910337
"03_07_3","3","Penta","L",33.8,26.6,7,"N",14,0.139095941,6,NA,NA,0.269070285,"170.0580964",120216.5768,170.0580964,120216.5768,24.82212994,88.5,87.26,248.8662086,283.6743339,740.309101,157.2777202,"281.42","224.13",NA,4.221958985,NA,7.001846566,NA,2.914062625,4.960549431,6.959259802,NA,NA,-14.87,NA,-13.53,-12.47,-13.67,1402.406169,34.86763355,12.15497009,NA,NA,30.70047163,46,5.2115354818
"04_07_1","1","Penta","LW",22.9,33.45,5.25,"N",13,0.129275004,5.5,NA,NA,0.457233259,"69.83384945",133832.2271,69.83384945,133832.2271,21.23050424,47.2,124.57,224.5256247,59.82725219,471.1467662,114.8052491,"328.22","254.72",NA,2.655318406,NA,NA,1.391224181,1.420200538,1.960567357,0.17535076,87.42,NA,-16.77,NA,-18.67,-14.28,-18.94,1408.669156,NA,17.97114092,NA,NA,46.52995063,58,1.5205322484
"04_07_2","2","Penta","LW",22.9,33.45,5.25,"N",13,0.129275004,3.5,NA,NA,0.522688234,"924.1062836",103280.0332,924.1062836,103280.0332,8.887025873,77.3,43.27,108.4071092,136.782449,466.839662,55.42314043,"354.47","274.11",NA,4.074057274,NA,NA,1.518674288,1.325085849,1.349059479,1.290382017,20.09,NA,-14.76,NA,-14.84,-17.6,-14.52,1175.158455,21.84325736,10.08956924,9.125147703,2.066810239,37.21559642,45.71428571,1.9114517814
"04_07_3","3","Penta","LW",22.9,33.45,5.25,"N",13,0.129275004,7,NA,NA,0.268115942,"298.1946738",109480.5042,298.1946738,109480.5042,11.09391852,143.6,NA,NA,NA,NA,NA,"346.1","n/a",NA,5.574331155,NA,NA,1.898411731,1.904477735,0.743290521,5.428369434,27.27,NA,-13.09,NA,-15.23,-13.47,-15.7,1952.414122,24.23366696,6.358564835,NA,4.811212891,182.1184185,4,3.1097761152
"05_03_1","1","Penta","L",17.8,43.4,0.8,"N",5,0.049958396,7,NA,NA,0.313655689,"348.9314364",52946.59522,348.9314364,52946.59522,NA,21.3,62.09,48.32963318,121.6696391,240.9366731,91.83183573,"269.59","251.42",NA,0.775861246,NA,0.696033788,NA,1.269826484,1.480290588,1.0743684,NA,NA,138.55,NA,-1.67,62.45,-3.39,735.4987995,10.15768987,6.82178287,0.757368385,0.056972374,38.61891713,40,1.0592761012
"05_03_2","2","Penta","L",17.8,43.4,0.8,"N",5,0.049958396,6,NA,NA,0.308208856,"827.9470367",38573.61134,827.9470367,38573.61134,NA,81,36.18,77.85695601,93.50429911,299.8389076,16.62925608,"303.71","255.96",NA,0.744877825,NA,0.933026597,NA,2.010415252,1.482383974,1.40152626,NA,NA,17.91,NA,5.43,6.05,-2.96,1112.11588,26.52319508,NA,NA,NA,27.83843743,8,1.3144459816
"05_03_3","3","Penta","L",17.8,43.4,0.8,"N",5,0.049958396,6,NA,NA,0.1969054,"172.3293501",156533.8773,172.3293501,156533.8773,NA,140.3,51.31,145.6404031,145.8557955,121.0386274,67.75953075,"259.62","191.85",NA,0.957370466,NA,0.61771751,NA,1.039257724,1.645305944,1.415539185,NA,NA,12.41,NA,-10.43,-1.07,-7.67,1273.568568,29.42361057,3.017733121,NA,0.829640916,27.99850872,28,1.1350381658
"05_09_1","1","Penta","L",21,49.05,6.6,"N",1.5,0.014998875,7,NA,NA,0.293952222,"",NA,NA,NA,NA,77.7,NA,NA,NA,NA,NA,"n/a","n/a",NA,1.711285011,NA,2.047931201,NA,2.175900496,2.58492066,2.687284814,NA,NA,-1.38,NA,-7.69,17.43,16.35,528.2093619,12.24785889,23.72687177,4.992803612,1.709292605,35.58917336,25.71428571,2.2414644364
"05_09_2","2","Penta","L",21,49.05,6.6,"N",1.5,0.014998875,5.5,NA,NA,0.354742396,"-40.55760212",96904.58329,NA,96904.58329,13.54643524,66.4,19.86,63.15628085,105.9884918,38.35973763,93.02688557,"324.27","284.82",NA,7.127181816,NA,1.301282812,NA,0.993275322,1.519667268,1.27633595,NA,NA,1.03,NA,-3.78,3.78,-0.54,1710.332611,56.04037313,NA,NA,3.207156172,29.66965812,20,2.4435486336
"05_09_3","3","Penta","L",21,49.05,6.6,"N",1.5,0.014998875,7,NA,NA,0.197481658,"",NA,NA,NA,NA,337,55.61,86.87404337,202.6258811,118.8732639,75.39235082,"364.15","271.29",NA,2.934374328,NA,1.402713304,NA,3.411244525,0.63366545,2.386549737,NA,NA,-10.51,NA,-12.9,-5.52,-9.07,300.411766,10.36062276,25.41187225,1.63751534,1.753297856,24.55447705,24,2.1537094688
"06_06_1","1","Penta","L",47.5,42.5,17,"N",1.5,0.014998875,4,NA,NA,0.103503456,"83.7544927",54067.64881,83.7544927,54067.64881,18.71105063,15.8,45.12,134.8186123,149.8859551,537.0211651,137.598672,"354.39","296.29",NA,1.889672347,NA,4.242180673,NA,5.384040536,6.3816426,3.723722523,NA,NA,-0.22,NA,-8.61,-12.16,7.54,730.5160829,14.66438862,0.618081875,NA,4.91244013,101.0856172,28,4.3242517358
"06_06_2","2","Penta","L",47.5,42.5,17,"N",1.5,0.014998875,5,NA,NA,0.166538476,"",NA,NA,NA,NA,32.3,19.49,84.3105656,93.44151999,270.0431809,54.47501271,"441.67","356.11",NA,0.733738614,NA,NA,NA,1.688281677,2.277624469,2.351535984,NA,NA,1.39,NA,-4.05,-4.1,-2.77,617.2514833,18.32829591,NA,0.9426044,2.275604053,NA,23.07692308,1.762795186
"06_06_3","3","Penta","L",47.5,42.5,17,"N",1.5,0.014998875,6,NA,NA,0.280076652,"-34.12278557",80118.05064,NA,80118.05064,6.172797468,292.3,123.65,366.8353461,425.7917585,658.1942489,162.1561127,"249.76","170.36",NA,7.80169279,NA,5.350559002,NA,1.965388163,7.969711454,7.666062706,NA,NA,-11.21,NA,-13.1,-12.27,-12.59,1144.541406,22.55707547,NA,NA,828.4480585,63.03759146,40,6.150682823
"08_11_1","1","Goeth","SW",38.4,22.3,17.1,"N",18,0.178092938,7.5,NA,NA,0.274500728,"92.76980463",99280.34631,92.76980463,99280.34631,NA,13.4,34.71,75.59409408,122.2159465,242.4660027,64.55998067,"338.7","275.54",1.239135505,NA,2.12668983,1.863802511,0.209124014,NA,NA,NA,126.57,-16.77,124.68,-16.33,NA,NA,NA,1384.864982,11.22288482,NA,NA,NA,NA,20,1.359687965
"08_11_2","2","Goeth","SW",38.4,22.3,17.1,"N",18,0.178092938,5,26,26,0.344837028,"134.4298162",-132063.9951,134.4298162,NA,NA,1.3,NA,NA,NA,NA,NA,"373.13","261.98",NA,NA,NA,1.934105045,2.996732839,NA,NA,NA,-0.68,-18.85,-2.45,-18.56,NA,NA,NA,1191.018121,19.32081655,5.035939628,NA,2.222525344,29.37982827,40,2.465418942
"08_11_3","3","Goeth","SW",38.4,22.3,17.1,"N",18,0.178092938,5.5,NA,NA,0.182096275,"475.2568984",126916.4375,475.2568984,126916.4375,NA,735.3,109.02,283.455092,227.1642217,715.1800889,132.9631583,"260.58","178.4",3.547758321,NA,8.668149242,2.488205607,3.027084361,NA,NA,NA,-3.06,-20.87,-6.78,-19.46,NA,NA,NA,732.6250016,40.02622245,6.266766611,NA,3.268732969,33.63791209,28,4.43279938275
"09_01_1","1","Penta","LW",33.3,19.4,16.8,"N",54,0.495133263,8,NA,NA,0.170962854,"-159.6921025",33565.80481,NA,33565.80481,NA,88.2,19.24,125.0743167,176.56854,342.4813354,84.89697405,"296.23","243.97",1.475686004,2.921242529,NA,NA,2.059916149,1.379117094,0.407410676,0.896398786,-19.37,NA,111.66,NA,-5.86,19.72,7.41,354.4655414,22.46259444,2.877175292,3.236627078,5.583245223,15.92178735,34,1.52329520633333
"09_01_2","2","Penta","LW",33.3,19.4,16.8,"N",54,0.495133263,6,NA,NA,0.316050994,"",NA,NA,NA,NA,154.8,22.39,77.20786139,97.83888947,361.3431427,45.4860796,"337.61","273.95",0.421092587,2.159399046,NA,NA,0.474657037,1.543066117,2.8265369,6.752974038,-15.18,NA,27.33,NA,94.02,-3.53,-9.07,959.4822013,33.29458026,7.402948356,8.04111646,5.336752626,62.13715122,44,2.3629542875
"09_01_3","3","Penta","LW",33.3,19.4,16.8,"N",54,0.495133263,5,NA,NA,0.152129553,"-111.5013791",21371.51791,NA,21371.51791,NA,209,29.94,123.6191263,121.9574414,101.4088771,56.45153948,"323.79","218.85",0.406393829,1.220730037,NA,NA,2.290147666,3.306294556,0.508748423,1.567908601,-14.11,NA,19.2,NA,13.85,6.47,-6.95,587.8881166,9.694181371,56.24793465,4.915479085,3.180322994,22.8696963,44,1.55003718533333
"09_03_1","1","Goeth","SW",19.6,15.6,19.6,"N",31,0.30060567,6,NA,NA,0.271560549,"3.938727626",81353.73656,3.938727626,81353.73656,NA,13.6,41.48,108.1311638,135.0730358,375.6647909,78.00031407,"323.94","279.55",NA,NA,1.475525707,2.01051499,5.433955232,NA,NA,NA,-14.44,-11.58,169.29,-12.09,NA,NA,NA,949.6555044,38.1591495,10.51472712,NA,5.32028811,25.45751383,70,2.97333197633333
"09_03_2","2","Goeth","SW",19.6,15.6,19.6,"N",31,0.30060567,4.5,25.7,25.8,0.283694971,"209.1475748",96189.52305,209.1475748,96189.52305,NA,26.7,31.42,15.49329016,91.67534538,165.770679,42.97346288,"356.54","299.54",NA,NA,1.621771564,6.256453307,1.355256779,NA,NA,NA,-14.19,-13.02,22.67,-14.32,NA,NA,NA,567.0887608,7.45854312,3.033737325,0.825078207,1.397158516,17.35178332,44,3.07782721666667
"09_03_3","3","Goeth","SW",19.6,15.6,19.6,"N",31,0.30060567,8,NA,NA,0.124913441,"59.43432215",65121.84414,59.43432215,65121.84414,NA,89.6,32.03,110.8179274,53.62214,298.6982335,52.02416916,"276.16","205.89",NA,NA,1.245808483,1.045110825,0.759216368,NA,NA,NA,-10.67,-13.5,12.61,-14.86,NA,NA,NA,829.4338985,410.8603542,7.555343155,NA,1.503380449,31.41110801,68,1.016711892
"09_06_1","1","Goeth","LW",12.4,16.5,13.8,"N",40,0.380506377,1.5,NA,NA,0.184897646,"-220.4793489",21602.06934,NA,21602.06934,NA,30.9,30.2,95.6828852,86.40563891,2.495310526,13.06010314,"363.62","285.52",NA,2.878790722,NA,NA,1.774460106,2.847191688,5.881617044,1.671145778,-16.8,NA,227.09,NA,3.4,19.94,49.5,788.2986353,9.257321436,NA,NA,6.210618972,29.42261013,34.04255319,3.0106410676
"09_06_2","2","Goeth","LW",12.4,16.5,13.8,"N",40,0.380506377,1.75,25.4,25.6,0.179032623,"-62.85043815",62366.50867,NA,62366.50867,NA,38.8,33.59,76.16374119,24.15762127,248.5216225,55.84557045,"377.26","305.88",NA,2.495520592,NA,NA,4.375076505,1.479136015,4.31655642,2.877365123,-13.74,NA,44.02,NA,22.59,1.29,0.63,412.2804276,10.9049745,1.541862871,1.616450962,1.153169977,25.69964491,28,3.108730931
"09_06_3","3","Goeth","LW",12.4,16.5,13.8,"N",40,0.380506377,3,NA,NA,0.270647431,"-206.3421939",57559.11156,NA,57559.11156,NA,107.6,67.87,193.7802099,144.6346793,416.4136769,29.52813171,"292.99","256.92",NA,4.918647803,NA,NA,8.327014483,4.305130758,NA,1.049423131,-13.71,NA,18.51,NA,156.54,-9.56,-6.68,1103.065227,NA,17.46925397,NA,NA,26.93958057,54,4.65005404375
