"ID","SampleName","InjectionVol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C","Dry_Soil_Mass_g","ug_C","Peak_Area_C_ratio"
1,"01.05.1",3,"12:0",0,17.873,-31.002,1.071749,0.7285,6,54.6375,0.3271
13,"01.05.1",3,"19:0",0,18.796,-28.984,1.073956,0.8216,6,61.62,0.305
16,"01.13.1",2,"12:0",0,15.53,-31.013,1.071736,0.7285,6.074,36.425,0.4264
28,"01.13.1",2,"19:0",0,14.658,-32.145,1.070498,0.8216,6.074,41.08,0.3568
30,"01.13.2",2,"12:0",0,22.532,-50.775,1.050108,0.7285,6.008,36.425,0.6186
42,"01.13.2",2,"19:0",0,21.825,-30.585,1.072205,0.8216,6.008,41.08,0.5313
45,"01.13.3",2,"12:0",0,14.982,-31.141,1.071596,0.7285,6.002,36.425,0.4113
57,"01.13.3",2,"19:0",0,14.084,-33.126,1.069424,0.8216,6.002,41.08,0.3428
60,"01.05.3",3,"12:0",0,15.032,-39.489,1.062461,0.7285,6.09,54.6375,0.2751
72,"01.05.3",3,"19:0",0,16.412,-30.499,1.072298,0.8216,6.09,61.62,0.2663
75,"10.02.2",3,"12:0",0,17.417,-31.144,1.071593,0.7285,5.999,54.6375,0.3188
86,"10.02.2",3,"19:0",0,17.906,-33.295,1.06924,0.8216,5.999,61.62,0.2906
89,"10.02.1",3,"12:0",0,16.051,-30.602,1.072186,0.7285,5.807,54.6375,0.2938
101,"10.02.1",3,"19:0",0,16.933,-34.419,1.068009,0.8216,5.807,61.62,0.2748
103,"10.02.3",1,"12:0",0,13.172,-30.958,1.071797,0.7285,6.005,18.2125,0.7232
115,"10.02.3",1,"19:0",0,13.445,-33.419,1.069104,0.8216,6.005,20.54,0.6546
117,"11.06.2",3,"12:0",0,15.588,-31.606,1.071088,0.7285,6.007,54.6375,0.2853
129,"11.06.2",3,"19:0",0,15.921,-33.195,1.069349,0.8216,6.007,61.62,0.2584
132,"11.10.1",2,"12:0",0,13.502,-30.343,1.072469,0.7285,6.056,36.425,0.3707
144,"11.10.1",2,"19:0",0,14.435,-29.674,1.073202,0.8216,6.056,41.08,0.3514
147,"11.10.3",2,"12:0",0,14.193,-30.625,1.072161,0.7285,6.014,36.425,0.3896
159,"11.10.3",2,"19:0",0,17.192,-33.058,1.069499,0.8216,6.014,41.08,0.4185
162,"11.06.2",3,"12:0",0,16.694,-30.335,1.072478,0.7285,6.007,54.6375,0.3055
174,"11.06.2",3,"19:0",0,15.07,-32.722,1.069866,0.8216,6.007,61.62,0.2446
177,"11.06.3",1,"12:0",0,13.145,-30.895,1.071865,0.7285,6.012,18.2125,0.7218
189,"11.06.3",1,"19:0",0,13.124,-33.926,1.068548,0.8216,6.012,20.54,0.6389
192,"11.06.3",2,"12:0",0,24.909,-29.832,1.073029,0.7285,6.012,36.425,0.6838
204,"11.06.3",2,"19:0",0,23.9,-31.897,1.070769,0.8216,6.012,41.08,0.5818
207,"12.09.1",2,"12:0",0,14.344,-30.397,1.07241,0.7285,6,36.425,0.3938
219,"12.09.1",2,"19:0",0,14.572,-32.249,1.070383,0.8216,6,41.08,0.3547
221,"12.09.2",2,"12:0",0,13.461,-30.251,1.07257,0.7285,6.02,36.425,0.3696
233,"12.09.2",2,"19:0",0,13.434,-26.74,1.076411,0.8216,6.02,41.08,0.327
235,"12.01.2",3,"12:0",0,15.302,-30.638,1.072147,0.7285,6.028,54.6375,0.2801
247,"12.01.2",3,"19:0",0,15.959,-31.251,1.071476,0.8216,6.028,61.62,0.259
250,"12.01.3",2,"12:0",0,14.104,-30.967,1.071786,0.7285,6.03,36.425,0.3872
262,"12.01.3",2,"19:0",0,13.546,-31.688,1.070997,0.8216,6.03,41.08,0.3297
265,"12.05.2",3,"12:0",0,15.94,-30.573,1.072217,0.7285,6.037,54.6375,0.2917
277,"12.05.2",3,"19:0",0,16.01,-29.087,1.073844,0.8216,6.037,61.62,0.2598
279,"12.05.3",2,"12:0",0,12.291,-42.653,1.058998,0.7285,5.999,36.425,0.3374
291,"12.05.3",2,"19:0",0,11.059,-31.359,1.071357,0.8216,5.999,41.08,0.2692
293,"12.09.3",2,"12:0",0,15.216,-30.719,1.072057,0.7285,6.002,36.425,0.4177
305,"12.09.3",2,"19:0",0,16.735,-31.572,1.071124,0.8216,6.002,41.08,0.4074
308,"14.10.3",3,"12:0",0,16.072,-30.77,1.072002,0.7285,6.039,54.6375,0.2942
320,"14.10.3",3,"19:0",0,15.696,-33.349,1.06918,0.8216,6.039,61.62,0.2547
322,"14.10.1",3,"12:0",0,16.241,-30.666,1.072116,0.7285,6.035,54.6375,0.2973
334,"14.10.1",3,"19:0",0,17.3,-32.108,1.070538,0.8216,6.035,61.62,0.2808
336,"14.10.2",3,"12:0",0,16.84,-30.854,1.071911,0.7285,6.001,54.6375,0.3082
348,"14.10.2",3,"19:0",0,17.304,-32.858,1.069717,0.8216,6.001,61.62,0.2808
350,"15.16.2",2,"12:0",0,14.291,-41.284,1.060497,0.7285,6.092,36.425,0.3923
362,"15.16.2",2,"19:0",0,15.135,-32.18,1.070459,0.8216,6.092,41.08,0.3684
365,"17.01.1",3,"12:0",0,16.314,-44.238,1.057263,0.7285,6.007,54.6375,0.2986
377,"17.01.1",3,"19:0",0,18.002,-34.019,1.068447,0.8216,6.007,61.62,0.2921
380,"17.01.3",3,"12:0",0,16.989,-39.093,1.062895,0.7285,6.062,54.6375,0.3109
391,"17.01.3",3,"19:0",0,19.862,-33.419,1.069104,0.8216,6.062,61.62,0.3223
394,"17.06.1",3,"12:0",0,16.268,-50.709,1.05018,0.7285,6.036,54.6375,0.2977
406,"17.06.1",3,"19:0",0,17.07,-32.913,1.069657,0.8216,6.036,61.62,0.277
409,"17.06.2",3,"12:0",0,17.298,-30.7,1.072079,0.7285,6.013,54.6375,0.3166
421,"17.06.2",3,"19:0",0,18.85,-32.744,1.069842,0.8216,6.013,61.62,0.3059
424,"17.01.1b",3,"12:0",0,14.918,-31.056,1.071689,0.7285,5.999,54.6375,0.273
436,"17.01.1b",3,"19:0",0,13.815,-32.444,1.07017,0.8216,5.999,61.62,0.2242
439,"17.06.3",3,"12:0",0,15.135,-31.129,1.071609,0.7285,6.02,54.6375,0.277
451,"17.06.3",3,"19:0",0,15.754,-32.923,1.069646,0.8216,6.02,61.62,0.2557
454,"18.05.1",3,"12:0",0,14.9,-30.797,1.071972,0.7285,6.095,54.6375,0.2727
464,"18.05.1",3,"19:0",0,52.389,-33.987,1.068482,0.8216,6.095,61.62,0.8502
467,"18.05.2",2,"12:0",0,17.593,-31.539,1.071161,0.7285,6.008,36.425,0.483
479,"18.05.2",2,"19:0",0,19.604,-31.597,1.071098,0.8216,6.008,41.08,0.4772
482,"18.05.3",2,"12:0",0,23.389,-30.118,1.072716,0.7285,6.001,36.425,0.6421
494,"18.05.3",2,"19:0",0,21.567,-31.721,1.070962,0.8216,6.001,41.08,0.525
497,"02.10.1",2,"12:0",0,13.457,-30.539,1.072254,0.7285,6.059,36.425,0.3694
509,"02.10.1",2,"19:0",0,13.575,-32.347,1.070277,0.8216,6.059,41.08,0.3305
511,"02.10.3",3,"12:0",0,15.975,-31.012,1.071737,0.7285,6.002,54.6375,0.2924
523,"02.10.3",3,"19:0",0,16.684,-33.036,1.069523,0.8216,6.002,61.62,0.2708
526,"02.08.1",3,"12:0",0,16.26,-30.341,1.072472,0.7285,6.004,54.6375,0.2976
538,"02.08.1",3,"19:0",0,16.918,-27.714,1.075346,0.8216,6.004,61.62,0.2746
541,"02.08.2",3,"12:0",0,16.54,-31.564,1.071133,0.7285,6.003,54.6375,0.3027
553,"02.08.2",3,"19:0",0,19.62,-30.151,1.072679,0.8216,6.003,61.62,0.3184
556,"02.08.3",3,"12:0",0,14.947,-30.611,1.072176,0.7285,6.007,54.6375,0.2736
568,"02.08.3",3,"19:0",0,19.84,-30.283,1.072535,0.8216,6.007,61.62,0.322
571,"20.04.1",3,"12:0",0,19.005,-30.964,1.071789,0.7285,6,54.6375,0.3478
583,"20.04.1",3,"19:0",0,18.236,-33.186,1.069358,0.8216,6,61.62,0.2959
586,"20.04.2",3,"12:0",0,15.767,-30.701,1.072077,0.7285,5.901,54.6375,0.2886
597,"20.04.2",3,"19:0",0,17.124,-33.892,1.068586,0.8216,5.901,61.62,0.2779
599,"22.07.2",2,"12:0",0,22.621,-29.427,1.073472,0.7285,6.025,36.425,0.621
611,"22.07.2",2,"19:0",0,22.764,-26.866,1.076274,0.8216,6.025,41.08,0.5541
614,"22.07.3",3,"12:0",0,17.053,-31.085,1.071657,0.7285,6.022,54.6375,0.3121
626,"22.07.3",3,"19:0",0,19.687,-33.749,1.068743,0.8216,6.022,61.62,0.3195
629,"24.02.1",3,"12:0",0,16.355,-31.198,1.071533,0.7285,6.06,54.6375,0.2993
641,"24.02.1",3,"19:0",0,19.073,-27.553,1.075522,0.8216,6.06,61.62,0.3095
644,"24.02.2",3,"12:0",0,15.138,-30.259,1.072562,0.7285,6.02,54.6375,0.2771
656,"24.02.2",3,"19:0",0,17.33,-30.015,1.072828,0.8216,6.02,61.62,0.2812
659,"24.02.3",3,"12:0",0,16.424,-30.81,1.071959,0.7285,6.066,54.6375,0.3006
671,"24.02.3",3,"19:0",0,17.552,-33.255,1.069283,0.8216,6.066,61.62,0.2848
673,"28.01.2",2,"12:0",0,14.165,-30.79,1.07198,0.7285,6.009,36.425,0.3889
683,"28.01.2",2,"19:0",0,14.349,-32.647,1.069949,0.8216,6.009,41.08,0.3493
685,"28.01.3",2,"12:0",0,23.778,-30.193,1.072633,0.7285,6.015,36.425,0.6528
697,"28.01.3",2,"19:0",0,22.379,-32.04,1.070613,0.8216,6.015,41.08,0.5448
700,"03.07.2",3,"12:0",0,17.461,-30.823,1.071944,0.7285,6.051,54.6375,0.3196
712,"03.07.2",3,"19:0",0,18.83,-30.225,1.072599,0.8216,6.051,61.62,0.3056
715,"03.07.3",2,"12:0",0,14.647,-30.425,1.072379,0.7285,6,36.425,0.4021
727,"03.07.3",2,"19:0",0,0.348,-88.9,1.008357,0.8216,6,41.08,0.0085
729,"34.06.1",3,"12:0",0,18.828,-30.774,1.071998,0.7285,6,54.6375,0.3446
740,"34.06.1",3,"19:0",0,152.39,-32.437,1.070178,0.8216,6,61.62,2.4731
743,"34.06.3",2,"12:0",0,13.612,-30.785,1.071986,0.7285,6.013,36.425,0.3737
755,"34.06.3",2,"19:0",0,14.9,-34.919,1.067462,0.8216,6.013,41.08,0.3627
757,"37.04.1",2,"12:0",0,13.735,-43.242,1.058353,0.7285,6.008,36.425,0.3771
769,"37.04.1",2,"19:0",0,13.261,-32.686,1.069905,0.8216,6.008,41.08,0.3228
772,"37.04.2",2,"12:0",0,22.236,-43.481,1.058092,0.7285,6.007,36.425,0.6105
784,"37.04.2",2,"19:0",0,22.886,-32.322,1.070304,0.8216,6.007,41.08,0.5571
787,"37.04.3",3,"12:0",0,17.125,-30.68,1.072101,0.7285,5.99,54.6375,0.3134
799,"37.04.3",3,"19:0",0,17.827,-33.986,1.068483,0.8216,5.99,61.62,0.2893
801,"43.02.1",3,"12:0",0,16.381,-30.553,1.07224,0.7285,6.003,54.6375,0.2998
813,"43.02.1",3,"19:0",0,17.405,-30.734,1.072042,0.8216,6.003,61.62,0.2825
815,"43.02.2",2,"12:0",0,15.765,-31.029,1.071719,0.7285,6.017,36.425,0.4328
827,"43.02.2",2,"19:0",0,15.52,-34.08,1.06838,0.8216,6.017,41.08,0.3778
829,"43.02.3",2,"12:0",0,23.491,-30.017,1.072826,0.7285,6,36.425,0.6449
841,"43.02.3",2,"19:0",0,23.077,-32.806,1.069774,0.8216,6,41.08,0.5618
844,"46.03.2",3,"12:0",0,15.689,-30.206,1.072619,0.7285,6.006,54.6375,0.2871
856,"46.03.2",3,"19:0",0,16.527,-26.643,1.076518,0.8216,6.006,61.62,0.2682
859,"46.03.3",3,"12:0",0,16.264,-31.205,1.071526,0.7285,6.003,54.6375,0.2977
872,"46.03.3",3,"19:0",0,18.624,-30.44,1.072363,0.8216,6.003,61.62,0.3022
875,"48.01.1",2,"12:0",0,13.373,-30.751,1.072023,0.7285,6.072,36.425,0.3671
887,"48.01.1",2,"19:0",0,13.078,-33.528,1.068984,0.8216,6.072,41.08,0.3184
890,"48.01.3",2,"12:0",0,22.727,-29.68,1.073195,0.7285,6.032,36.425,0.6239
901,"48.01.3",2,"19:0",0,20.847,-32.267,1.070364,0.8216,6.032,41.08,0.5075
904,"05.03.1",3,"12:0",0,0.824,-29.694,1.073179,0.7285,6.009,54.6375,0.0151
916,"05.03.1",3,"19:0",0,15.286,-28.824,1.074132,0.8216,6.009,61.62,0.2481
919,"05.03.2",3,"12:0",0,12.478,-30.652,1.072132,0.7285,6.034,54.6375,0.2284
931,"05.03.2",3,"19:0",0,13.364,-28.463,1.074527,0.8216,6.034,61.62,0.2169
945,"05.03.3",2,"19:0",0,12.188,-34.021,1.068444,0.8216,6.004,41.08,0.2967
947,"05.09.2",3,"12:0",0,2.627,-30.798,1.071971,0.7285,6.032,54.6375,0.0481
959,"05.09.2",3,"19:0",0,13.471,-29.25,1.073665,0.8216,6.032,61.62,0.2186
962,"05.09.3",3,"12:0",0,2.029,-30.642,1.072142,0.7285,6.007,54.6375,0.0371
974,"05.09.3",3,"19:0",0,14.446,-31.595,1.0711,0.8216,6.007,61.62,0.2344
977,"52.04.2",2,"12:0",0,14.219,-31.311,1.07141,0.7285,6.007,36.425,0.3904
989,"52.04.2",2,"19:0",0,13.834,-32.223,1.070412,0.8216,6.007,41.08,0.3368
991,"52.04.1",2,"12:0",0,15.317,-30.726,1.07205,0.7285,6,36.425,0.4205
1003,"52.04.1",2,"19:0",0,16.143,-32.864,1.069711,0.8216,6,41.08,0.393
1004,"52.04.3",1,"12:0",0,12.355,-30.77,1.072002,0.7285,6.054,18.2125,0.6784
1016,"52.04.3",1,"19:0",0,11.931,-31.422,1.071288,0.8216,6.054,20.54,0.5809
1019,"55.11.1",2,"12:0",0,15.525,-30.794,1.071975,0.7285,6.012,36.425,0.4262
1031,"55.11.1",2,"19:0",0,15.532,-32.782,1.069801,0.8216,6.012,41.08,0.3781
1034,"55.11.2",2,"12:0",0,26.657,-30.448,1.072355,0.7285,6,36.425,0.7318
1046,"55.11.2",2,"19:0",0,26.038,-32.649,1.069946,0.8216,6,41.08,0.6338
1049,"58.05.2",3,"12:0",0,15.687,-30.489,1.072309,0.7285,6.064,54.6375,0.2871
1061,"58.05.2",3,"19:0",0,18.057,-27.339,1.075756,0.8216,6.064,61.62,0.293
1064,"58.05.3",3,"12:0",0,15.705,-31.365,1.071351,0.7285,6.03,54.6375,0.2874
1076,"58.05.3",3,"19:0",0,19.342,-32.19,1.070449,0.8216,6.03,61.62,0.3139
1079,"58.05.1",4,"12:0",0,17.027,-31.293,1.07143,0.7285,6.03,72.85,0.2337
1091,"58.05.1",4,"19:0",0,21.118,-28.396,1.074599,0.8216,6.03,82.16,0.257
1094,"06.06.1",2,"12:0",0,14.134,-30.734,1.072041,0.7285,6,36.425,0.388
1106,"06.06.1",2,"19:0",0,15.946,-31.574,1.071123,0.8216,6,41.08,0.3882
1109,"06.06.2",2,"12:0",0,16.245,-30.75,1.072024,0.7285,6,36.425,0.446
1121,"06.06.2",2,"19:0",0,14.806,-31.556,1.071142,0.8216,6,41.08,0.3604
1122,"06.06.3",3,"12:0",0,18.35,-31.704,1.07098,0.7285,6,54.6375,0.3358
1134,"06.06.3",3,"19:0",0,21.476,-31.874,1.070794,0.8216,6,61.62,0.3485
1137,"63.04.2",3,"12:0",0,18.899,-30.844,1.071921,0.7285,6,54.6375,0.3459
1149,"63.04.2",3,"19:0",0,20.916,-28.095,1.074929,0.8216,6,61.62,0.3394
